property,property,property,property,0,0,0,0
name,FeH,N,fitness,model,mass,age,offset
J0003+1556,-2.23,10,12.445462039784468,1,0.0276,13.0,1.1299628122074523e-08
J0006+0123,-2.27,7,8.239642308998906,1,0.0276,13.0,9.777457843362924e-09
J0040+2729,-2.81,14,4.116235879363542,4,0.029,13.0,3.7678247744032944e-09
J0041+3633,-2.37,10,12.550452537333408,3,0.027,13.0,4.792350460913752e-09
J0055+1857,-2.34,11,9.979764690496745,1,0.0276,13.0,5.546327619398994e-09
J0119-0121,-3.19,8,9.91872598324374,6,0.0459,13.0,6.866786217418763e-08
J0124+0458,-3.22,10,5.190433583598939,4,0.029,13.0,1.9027749376121506e-09
J0127+1100,-2.41,10,4.859650284148397,2,0.0296,13.0,6.029348798008982e-09
J0159+1219,-1.94,9,7.902160363132289,1,0.0276,13.0,1.989872067120757e-08
J0302+1356,-1.88,12,10.901028420912116,4,0.029,13.0,9.275606394076874e-09
J0405+2141,-3.21,10,8.753877373849644,4,0.029,13.0,1.4818702931407302e-09
J0446+2124,-2.82,11,10.266490452652132,10,0.0157,0.1,1.2208202337937735e-08
J0554+5235,-2.29,10,30.83319983468852,3,0.027,13.0,1.6732998542323685e-08
J0643+5934,-2.57,10,15.918463997569587,1,0.0276,13.0,3.5160169775672045e-09
J0653+4735,-2.41,15,16.990433587333055,5,0.0439,13.0,9.990978377949489e-09
J0711+3538,-3.25,10,2.472911710374444,4,0.029,13.0,5.178358297719399e-10
J0748+3209,-3.08,9,4.68488751804719,4,0.029,0.1,3.052574748529935e-09
J0804+5740,-2.47,14,7.3041589379506995,3,0.027,13.0,8.03217514722121e-09
J0824+3025,-2.72,4,3.9522260581434496,10,0.0157,0.1,7.784377464847836e-08
J0934-0108,-2.34,11,7.853962445120446,4,0.029,13.0,2.8982187760817624e-09
J0948+0000,-2.79,11,18.59140650079262,1,0.0276,0.1,1.1405461297631092e-08
J0949+2707,-2.9,7,3.135503436492499,10,0.0157,0.1,1.725767170279724e-07
J1003-0358,-2.18,9,11.694411692952713,9,0.0154,13.0,4.2715487591493684e-08
J1005-0350,-2.29,9,3.086163637778924,1,0.0276,13.0,7.43360845101293e-09
J1011+3524,-2.25,8,20.570208915896284,2,0.0296,13.0,3.235440410032098e-08
J1020+4046,-2.94,9,2.005498749346957,10,0.0157,0.1,1.9796496830704058e-08
J1044+3713,-2.03,12,8.001965085238972,4,0.029,13.0,1.314715314393311e-08
J1044-0358,-2.13,8,8.190891516565866,2,0.0296,13.0,5.652610918227552e-08
J1058-0138,-2.28,7,6.313244984817064,10,0.0157,13.0,2.8157748743762312e-08
J1059+0208,-2.3,10,17.008248346979684,2,0.0296,13.0,7.79816999862959e-09
J1101+2031,-2.52,10,7.901781212933565,4,0.029,13.0,2.016819544703452e-09
J1102+0102,-2.32,11,20.96180387551467,1,0.0276,13.0,5.382756351757223e-09
J1109+0754,-3.31,12,4.272163671901641,3,0.027,13.0,1.1354120421636082e-09
J1122+1223,-2.3,9,15.537257514514536,1,0.0276,13.0,7.703511051282419e-09
J1145+0359,-2.43,12,8.332352944742183,4,0.029,13.0,7.0200046886625955e-09
J1158+0734,-2.93,13,0.9590219938958058,4,0.029,13.0,1.3510455532106391e-09
J1205+1309,-1.67,11,5.522037629916114,4,0.029,13.0,2.0221695651301275e-08
J1207+2244,-2.76,11,6.4653758404431985,3,0.027,13.0,2.0549558166216286e-09
J1208+3954,-2.64,11,6.452717996955794,4,0.029,13.0,2.2079779671280164e-09
J1213+2506,-2.83,7,12.080317345222214,3,0.027,13.0,3.0456099309184026e-09
J1218+2838,-2.13,8,3.4913954267522014,1,0.0276,13.0,8.822573061006977e-09
J1221+0907,-2.34,11,8.390385607735425,3,0.027,13.0,6.818512976458635e-09
J1225-0452,-2.52,12,9.032471951951058,4,0.029,13.0,2.2904596552741907e-09
J1226+2323,-2.47,12,11.575793240704826,1,0.0276,13.0,3.434992068562792e-09
J1236+3424,-2.53,11,7.412340342994968,1,0.0276,13.0,3.365852596637353e-09
J1250-0307,-2.07,9,7.111477113812165,2,0.0296,0.1,8.606552470702411e-09
J1300+2632,-1.28,8,6.913507100351795,10,0.0157,0.1,6.969699928305317e-08
J1341+3255,-2.81,12,2.980342182178953,4,0.029,13.0,2.080135896864732e-09
J1345+0513,-2.69,11,15.37226449627159,3,0.027,13.0,1.2185273901010873e-09
J1352+2646,-3.06,9,8.777761804218356,1,0.0276,13.0,1.1177456182842604e-09
J1400+1215,-2.42,11,16.671356115804244,4,0.029,13.0,5.045030282424534e-09
J1400+4926,-2.58,9,5.008604924110469,4,0.029,13.0,2.135551790960477e-09
J1413+1727,-3.25,9,3.4707156755083157,1,0.0276,13.0,6.073107017279256e-10
J1414+1457,-2.58,12,4.813576062780334,3,0.027,13.0,3.0446584142751476e-09
J1414+1721,-2.45,9,13.127645879171661,4,0.029,13.0,3.393746228486094e-09
J1423+0322,-2.61,11,9.406533382107467,3,0.027,13.0,2.4920037144937623e-09
J1434+3540,-1.91,10,15.284670558513236,18,0.112,13.0,7.260378692697245e-08
J1459+0444,-2.76,12,8.515403421419302,4,0.029,13.0,1.0603988798152386e-09
J1501+3445,-2.61,10,4.9004173433484235,4,0.029,13.0,3.193782682764379e-09
J1516+0442,-2.33,11,13.362080236269993,4,0.029,13.0,2.3949492944375095e-09
J1518+2544,-2.15,10,24.239446989026664,3,0.027,13.0,1.2477404776056744e-08
J1520+5500,-2.18,10,13.44033313750312,4,0.029,13.0,9.799604128168937e-09
J1523+0714,-2.63,13,3.774719637174582,4,0.029,13.0,1.6262045043902162e-09
J1548+2113,-2.33,10,13.7157476661352,4,0.029,13.0,2.060085102506548e-09
J1551+2040,-2.48,12,23.496788217337325,4,0.029,0.1,3.877013415864994e-08
J1604+1305,-2.15,13,6.879828688793718,4,0.029,13.0,2.198429499555843e-08
J1612-0207,-2.14,10,18.1812998571396,3,0.027,13.0,1.07601230148191e-08
J1634+0206,-2.15,10,24.223742840887162,4,0.029,13.0,8.55259030263511e-09
J1640+1550,-2.89,11,16.244529596008586,3,0.027,13.0,1.5285778753870716e-09
J1641+0334,-3.26,9,2.9497436092020712,10,0.0157,13.0,2.1773998160057317e-09
J1650+4313,-3.02,10,5.306921058573238,4,0.029,13.0,1.3419928501789968e-09
J1657+3443,-2.6,12,8.00530350031502,1,0.0276,13.0,3.527379111023521e-09
J1702+1732,-2.29,9,5.1693735896703,2,0.0296,13.0,7.629893383764852e-09
J1717+2449,-2.45,14,6.383419208651545,4,0.029,13.0,7.126409073965334e-09
J1719+1358,-2.77,11,10.767336020946837,1,0.0276,13.0,2.0086199370439317e-09
J1730+4143,-2.5,11,15.975927163386658,3,0.027,13.0,3.959928107644117e-09
J1745+5410,-2.03,11,7.376500809432674,3,0.027,13.0,1.1142231970406868e-08
J1833+1309,-2.64,7,2.540507218760251,1,0.0276,13.0,6.548755981938825e-09
J2114-0616,-2.55,15,30.338570361769044,6,0.0459,13.0,6.855340239919627e-09
J2159+0308,-2.83,13,3.1078650583862433,3,0.027,13.0,2.236867691074451e-09
J2211+0454,-0.63,14,18.834453161220036,1,0.0276,13.0,3.200654905111122e-06
J2216+0246,-2.56,12,11.634128413165243,3,0.027,13.0,3.6859636454167344e-09
J2256+0215,-2.27,15,17.91649852995611,1,0.0276,13.0,1.9595835565322517e-08
J2257+3859,-2.65,12,32.86756244952327,18,0.112,13.0,7.509553312523565e-09
J2333+0505,-2.43,8,4.995151345080379,1,0.0276,13.0,5.640590217126373e-09
J2347+2851,-2.36,12,9.094971921205937,3,0.027,13.0,5.5838407786446e-09
J2349+3119,-2.01,12,15.289433253793183,4,0.029,13.0,6.501281291093619e-09
